,name,acisID,icao,longitude,latitude,elev_ft,valid_avgT_start,valid_avgT_end,valid_snowdepth_start,valid_snowdepth_end
243,HAINES #2,31090,,-135.46634,59.23172,98.0,2000-05-01,2025-04-18,2000-05-01,2025-04-13
244,HAINES 40NW,21201,,-136.3615,59.4503,820.0,1989-09-01,2025-04-18,1989-09-01,2025-04-18
245,HAINES AIRPORT,29837,PAHN,-135.51138,59.24287,21.0,1911-08-08,2025-04-10,1911-11-16,2001-06-30
246,HALIBUT COVE,20605,,-151.16667,59.6,30.0,1975-09-01,1998-01-31,1975-09-01,1998-01-31
247,HARDING ICEFIELD ALASKA,82924,,-149.7986,60.1489,4200.0,2004-07-14,2025-01-06,,
248,HARDING LAKE NE,80187,,-146.8152,64.4391,740.0,2016-02-03,2018-05-15,2016-02-03,2018-05-15
249,HAYCOCK ALASKA,65709,,-161.155,65.2017,177.0,1988-05-22,2025-04-17,,
250,HAYES RIVER,21146,,-152.07584,61.98722,1000.0,1980-11-01,2011-01-26,1980-11-01,2011-01-26
251,HEALY,20899,,-148.99429,63.8674,1417.0,1976-11-05,2017-02-28,1976-11-06,2017-02-28
252,HEALY,20897,,-148.9436,63.84528,1244.0,1920-03-01,2010-10-06,1920-02-01,2010-10-06
253,HELM ALASKA,65713,,-131.3661,55.5297,1400.0,1989-09-25,2025-04-17,,
254,HELMUT MOUNTAIN ALASKA,65711,,-144.1225,67.7414,2800.0,1988-09-23,2025-04-17,,
255,HIDDEN FALLS HATCHERY,21212,,-134.87691,57.2177,22.0,1992-10-01,2025-04-17,1992-10-01,2025-04-17
256,HODZANA ALASKA,65714,,-148.6767,66.7417,1075.0,1991-06-10,2025-04-17,,
257,HOGATZA RIVER ALASKA,65715,,-155.6667,66.2167,685.0,1988-05-20,2025-04-17,,
258,HOLLIS,20478,PAHS,-132.62219,55.4909,30.0,1950-05-09,2017-08-31,1949-05-06,2017-10-11
259,HOMER 13 NE,31469,,-151.21028,59.76222,1405.0,2002-12-01,2005-10-31,2002-12-01,2005-10-31
260,HOMER 17 E,21207,,-151.16667,59.76667,1000.0,1991-02-01,2017-12-20,1991-02-01,1991-04-30
261,HOMER 2NW,31593,,-151.56361,59.66583,1015.0,2003-08-01,2004-10-31,2003-08-01,2004-10-31
262,HOMER 8 NW,20615,,-151.6347,59.7444,1080.0,1977-10-02,2021-12-07,1977-10-01,2021-12-07
263,HOMER 9 E,21191,,-151.32556,59.71611,512.0,1988-08-01,2011-10-31,1988-08-01,2011-10-31
264,HOMER AIRPORT,20608,PAHO,-151.49098,59.64196,63.0,1932-09-01,2025-04-17,1932-09-01,1997-11-30
265,HOMER ALASKA,65716,,-151.2083,59.7458,715.0,1998-05-26,2024-09-21,,
266,HOODOO HILL ALASKA,65718,,-163.4081,65.5858,1550.0,1992-06-16,2021-11-29,,
267,HOONAH,20547,,-135.4277,58.1071,130.0,1941-05-09,2025-03-28,1941-06-01,2025-04-18
268,HOONAH ALASKA,65717,,-135.1333,57.8,450.0,1989-09-26,2025-04-17,,
269,HOPE,20679,,-149.6286,60.8983,180.0,1979-03-01,2012-06-30,1979-03-01,2012-01-25
270,HOUSTON,21160,,-149.80112,61.63111,270.0,1984-11-01,2020-08-25,1984-11-01,2020-06-30
271,HOWARD PASS ALASKA,82892,,-156.8958,68.1561,2062.0,2013-07-18,2025-04-17,,
272,HUSLIA 27 E,114109,,-155.4761,65.6582,207.0,2024-12-06,2025-04-18,,
273,HUSLIA AP,32036,PAHL,-156.35139,65.69778,180.0,2024-05-20,2025-04-17,,
274,HYDABURG SEAPLANE BASE,33044,PAHY,-132.82831,55.20631,,2020-02-02,2025-04-17,,
275,HYDER,31580,,-130.02592,55.9158,80.0,1936-10-01,2023-03-01,1936-11-01,2023-03-01
276,IGLOO LODGE,31256,,-149.77779,63.16389,2160.0,2001-08-01,2003-07-31,2001-08-01,2003-07-31
277,ILIAMNA AIRPORT,20618,PAIL,-154.90903,59.74922,152.0,1920-04-01,2025-04-17,1920-02-11,1997-11-30
278,ILLINOIS CREEK,21208,,-157.83333,64.05,980.0,1991-02-01,2004-11-30,1991-04-01,2004-11-30
279,IMELYAK ALASKA,82934,,-157.0692,67.5461,3569.0,2012-08-03,2025-04-17,,
280,IMNAVIAT CREEK,77624,,-149.3,68.62,3050.0,2006-09-30,2025-04-16,,
281,INDEPENDENCE MINE,77623,,-149.28,61.79,3550.0,2021-09-30,2025-04-16,,
282,INDIAN PASS,77621,,-149.48,61.07,2350.0,1981-09-30,2025-04-16,,
283,INIGOK AIRFIELD ALASKA,82933,,-153.0836,70.0036,168.0,2012-08-21,2025-04-17,,
284,INNOKO FLATS ALASKA,65725,,-158.8167,63.39,930.0,1988-03-31,2025-04-17,,
285,INTRICATE BAY,20606,,-154.49834,59.555,120.0,1959-08-01,2006-07-31,1959-08-01,2006-07-31
286,IVOTUK 1 NNE,79883,,-155.7506,68.4851,1909.0,2014-06-19,2023-04-06,,
287,JARVIS CREEK ALASKA,82886,,-145.6189,63.9486,1426.0,2009-06-19,2025-01-30,,
288,JATAHMUND LAKE ALASKA,65727,,-142.0833,62.6,2300.0,1990-07-02,2025-04-17,,
289,JBER ALASKA,83022,,-149.6503,61.3819,262.0,2012-10-02,2025-04-17,,
290,JOHNSON'S CAMP,77647,,-164.28999,64.56,25.0,2002-08-14,2025-04-16,,
291,JUNEAU AIRPORT,20559,PAJN,-134.55606,58.354,19.0,1936-11-01,2025-04-17,1936-11-01,2025-04-17
292,JUNEAU DOWNTOWN,29841,,-134.4111,58.2988,50.0,1890-01-01,2021-09-30,1890-01-05,2021-09-30
293,JUNEAU FORECAST OFFICE,31193,,-134.5694,58.4002,106.0,2001-12-01,2025-04-17,2001-12-01,2025-04-17
294,JUNEAU LEMON CREEK,31850,,-134.47945,58.35444,159.0,2003-12-09,2009-10-31,2003-12-09,2009-10-31
295,JUNEAU LENA POINT,31020,,-134.76579,58.3869,35.0,2000-01-01,2025-04-17,2000-01-01,2025-04-17
296,JUNEAU MILE 17,31194,,-134.7468,58.4058,245.0,2001-03-01,2013-07-31,2001-03-01,2013-07-31
297,JUNEAU OUTER POINT,31246,,-134.67529,58.2944,45.0,2001-07-01,2016-10-09,2001-07-01,2016-10-09
298,JUNEAU RD ALASKA,65729,,-134.57111,58.3622,25.0,1997-04-09,2005-03-30,,
299,KACHEMAK CREEK,77628,,-150.66,59.73,1660.0,2003-09-30,2019-05-29,,
300,KAIYUH ALASKA,65730,,-158.1058,64.4256,110.0,1997-08-25,2025-04-17,,
301,KAKE,35085,,-133.89999,56.96667,70.0,1919-05-01,1991-05-04,1919-05-01,1992-04-30
302,KAKE ALASKA,65731,,-133.66,56.9739,400.0,1989-09-25,2024-08-21,,
303,KALGIN ISLAND,21187,,-151.91667,60.45,30.0,1988-01-06,2017-12-20,1988-01-06,1988-02-29
304,KALSKAG AP,33568,PALG,-160.34138,61.53639,55.0,2025-01-09,2025-04-17,,
305,KALTAG AIRPORT,20921,PAKV,-158.7326,64.3208,173.0,1944-06-01,2025-04-17,1944-06-01,1944-10-31
306,KALUICH ALASKA,82896,,-158.4317,67.5733,2486.0,2012-09-04,2025-04-17,,
307,KANTISHNA,77635,,-150.99001,63.54,1550.0,2005-07-28,2025-04-16,,
308,KANUTI NWR ALASKA,65732,,-152.17,66.0933,825.0,1990-08-06,2025-04-17,,
309,KASILOF 3 NW,20640,,-151.37398,60.36516,70.0,1925-11-01,1997-10-31,1925-11-13,1997-10-31
310,KAVET CREEK ALASKA,65733,,-159.04359,67.1386,235.0,1992-06-16,2025-04-17,,
311,KELLY ALASKA,65734,,-162.3,67.9333,412.0,1990-04-23,2025-04-17,,
312,KELLY STATION,77644,,-162.28,67.93,310.0,2011-07-22,2025-04-16,,
313,KENAI 29 ENE,61825,,-150.44839,60.7237,282.0,2010-08-31,2025-04-18,,
314,KENAI 9N,21137,,-151.32278,60.66917,126.0,1983-07-01,2007-04-30,1983-07-01,2007-04-30
315,KENAI AIRPORT,20662,PAEN,-151.24152,60.57909,99.0,1899-05-01,2025-04-17,1899-05-01,1999-12-06
316,KENAI LAKE ALASKA,65739,,-149.39999,60.3667,475.0,1989-09-25,2025-04-17,,
317,KENAI MOOSE PENS,77629,,-150.48,60.73,300.0,1994-02-22,2025-04-16,,
318,KENAI NWR ALASKA,65735,,-150.3167,60.5917,400.0,1988-06-30,2025-04-17,,
319,KENNY LAKE 7SE,31091,,-144.76331,61.6797,1240.0,2000-05-01,2012-03-31,2000-05-01,2012-03-26
320,KETCHIKAN 10N,83198,,-131.8183,55.4519,295.0,2007-08-27,2025-04-18,2007-11-28,2025-04-18
321,KETCHIKAN 14N,31210,,-131.80556,55.465,205.0,2001-05-01,2007-08-23,2001-05-01,2006-10-31
322,KETCHIKAN AIRPORT,31833,PAKT,-131.72195,55.3586,84.0,1910-09-01,2025-04-17,1910-11-08,2024-11-03
323,KETCHIKAN CARLANNA CREEK,20475,,-131.7,55.35,330.0,1940-02-02,2017-12-19,1940-02-01,1941-08-31
324,KEYSTONE RIDGE,28833,,-148.2711,64.9156,1600.0,1996-08-01,2025-04-17,1996-08-01,2025-04-17
325,KIANA ALASKA,65736,,-160.4375,66.9767,150.0,1988-04-19,2025-04-17,,
326,KILBUCK ALASKA,65737,,-160.2,60.32,1910.0,1991-07-15,2024-07-15,,
327,KILLIK PASS ALASKA,82766,,-154.92419,67.9703,3000.0,2012-09-04,2024-09-15,,
328,KING SALMON 42 SE,67799,,-155.9225,58.2077,661.0,2012-08-18,2025-04-18,,
329,KING SALMON AIRPORT,29840,PAKN,-156.65634,58.68294,66.0,1917-06-14,2025-04-17,1917-07-01,2020-04-30
330,KITOI BAY,20551,,-152.37219,58.1913,60.0,1954-11-01,2025-02-28,1954-11-01,2025-02-28
331,KIVALINA AIRPORT,30970,PAVL,-164.54788,67.7306,19.0,1998-07-06,2025-04-17,,
332,KLAWASI ALASKA,65738,,-144.9281,62.1472,3100.0,1991-06-25,2025-04-17,,
333,KLAWOCK AIRPORT,30949,PAKW,-133.07468,55.58191,68.0,1997-07-01,2025-04-17,,
334,KLAWOCK WATER PLANT,94429,,-133.0647,55.55158,88.0,2019-11-14,2025-04-18,2019-11-14,2025-04-18
335,KOBE HILL,29442,,-149.4314,64.19417,800.0,2000-05-01,2012-02-29,2000-05-01,2012-02-29
336,KODIAK AIRPORT,29842,PADQ,-152.4881,57.75071,16.0,1931-01-01,2025-04-17,1931-01-01,2020-11-29
337,KODIAK WWTP,32422,,-152.35609,57.8048,54.0,2005-08-01,2025-03-31,2005-08-01,2025-03-31
338,KOTZEBUE 25 N,21135,,-162.8,67.25,30.0,1982-11-01,1995-05-31,1982-11-01,1995-05-31
339,KOTZEBUE AIRPORT,21029,PAOT,-162.6068,66.88569,11.0,1897-09-12,2025-04-17,1903-06-03,2020-05-26
340,KOYUK,21192,,-161.14999,64.93333,60.0,1988-11-01,2017-12-20,1988-11-01,1990-01-31
341,KOYUKUK NWR ALASKA,65740,,-157.57001,66.0083,100.0,1990-07-16,2025-04-17,,
342,KUPARUK,21139,,-149.6114,70.3289,64.0,1983-02-01,2025-02-28,1983-02-01,2025-02-28
343,KWETHLUK,106227,PFKW,-161.45,60.78333,25.0,2018-02-04,2025-04-16,,
344,LAKE MINCHUMINA ALASKA,65747,,-152.31059,63.8933,740.0,1992-06-22,2025-04-17,,
345,LAKE SUSITNA,21205,,-146.67889,62.45278,2375.0,1990-05-01,2003-12-31,1990-05-01,2003-12-31
346,LARSEN BAY,20530,,-153.96667,57.53333,18.0,1939-09-20,1993-11-30,1939-10-01,1993-11-30
347,LAZY MOUNTAIN,21161,,-149.0365,61.6266,733.0,1984-09-01,2025-04-03,1984-09-01,2025-04-03
348,LITTLE BLACK ALASKA,65743,,-143.3672,66.0914,1241.0,2003-07-29,2020-12-04,,
349,LITTLE CHENA #2,28892,,-147.32028,64.88722,550.0,2006-11-04,2007-09-03,1996-12-01,2007-09-03
350,LITTLE CHENA RIDGE,77606,,-146.73,65.12,2000.0,1981-09-30,2025-04-16,,
351,LITTLE PORT WALTER,20498,,-134.6497,56.383,14.0,1936-07-11,2025-04-18,1936-10-01,2025-04-18
352,LITTLE SU AT HATCHER PASS BRIDGE,20778,,-149.2316,61.7102,902.0,2006-06-29,2025-03-31,2006-10-26,2025-03-31
353,LIVENGOOD ALASKA,65746,,-148.72169,65.4236,450.0,1998-08-20,2025-04-17,,
354,LIVENGOOD DOT,20993,,-148.5497,65.5225,649.0,1933-07-04,2006-06-11,1933-09-01,2006-06-11
355,LONG LAKE,77588,,-133.83,58.19,850.0,1999-10-07,2025-04-16,,
356,LOST CREEK ALASKA,65748,,-147.97141,66.0425,700.0,2003-07-29,2023-09-15,,
357,MAIN BAY,21136,,-148.09309,60.5181,57.0,1982-10-02,2025-03-31,1982-10-01,2025-03-31
358,MANCHU ALASKA,83021,,-147.01669,64.7,671.0,2004-12-05,2025-04-17,,
359,MANKOMEN LAKE,20862,,-144.47917,62.98611,3025.0,1965-07-01,2008-12-11,1965-07-01,2008-12-11
360,MANLEY HOT SPRINGS,20967,PAML,-150.638,64.9988,272.0,1909-07-01,2014-03-31,1908-10-01,2014-03-31
361,MANLEY HOT SPRINGS 15NE,93827,,-150.22771,65.1225,501.0,2016-06-16,2023-12-01,2016-06-01,2023-12-01
362,MANLEY HOT SPRINGS DOT,33701,,-150.6127,65.0074,345.0,2015-09-23,2019-07-15,,
363,MATANUSKA EXPERIMENTAL FARM,20753,,-149.2541,61.5663,172.0,1917-07-04,2025-03-31,1917-07-04,2025-03-31
364,MAY CREEK,77591,,-142.71001,61.35,1610.0,2007-07-18,2025-04-16,,
365,MAY CREEK ALASKA,65749,,-142.5844,61.3208,1600.0,1990-05-25,2021-09-18,,
366,MC GRATH ON KUSKOKWIM RIV,20864,,-155.59029,62.95833,300.0,1941-06-01,2017-11-03,1941-02-01,2008-05-11
367,MCCARTHY 3 SW,21140,,-142.99609,61.418,1250.0,1984-01-01,2017-12-20,1984-01-01,2017-09-25
368,MCGRATH AP,20865,PAMC,-155.61009,62.9574,331.0,1941-06-01,2025-04-17,1939-04-01,2024-11-19
369,MCKINLEY PARK,29604,,-148.96919,63.7175,2070.0,1923-01-01,2025-04-14,1923-01-01,2025-04-14
370,MCKINLEY RIVER ALASKA,65750,,-151.63969,63.6492,840.0,1990-06-15,2025-04-17,,
371,MCNEIL CANYON,77639,,-151.25,59.74,1320.0,1999-10-21,2025-04-16,,
372,MCNEIL RIVER SGS,77643,,-154.28,59.08,140.0,2012-06-27,2025-04-16,,
373,MEADOW LAKES,33545,,-149.565,61.57778,353.0,2006-11-14,2008-04-08,2006-11-14,2008-04-08
374,MEKORYUK,29833,PAMY,-166.2,60.38333,45.0,1923-09-06,2025-04-17,1923-09-24,1987-07-31
375,MENTASTA LAKE 7E - BARTELL CREEK,34832,,-143.5741,62.933,2364.0,2009-01-01,2014-08-13,2009-01-01,2014-08-13
376,METLAKATLA 6 S,67801,,-131.58771,55.0455,105.0,2012-07-27,2025-04-18,,
377,METLAKATLA POWER,94432,,-131.59007,55.08563,56.0,2019-11-10,2025-04-18,2019-11-09,2025-04-16
378,MEYERS CHUCK,34609,,-133.255,55.73944,20.0,2005-08-15,2011-11-23,2005-08-15,2011-12-31
379,MIDDLE FORK BRADLEY,77626,,-150.75999,59.78,2300.0,1991-10-02,2025-04-11,,
380,MIDDLETON ISLAND,29836,PAMD,-146.33333,59.43333,100.0,1942-12-01,2025-04-17,1942-12-01,1963-06-01
381,MILE 101 STEESE,21186,,-145.33333,65.51667,2270.0,1987-11-01,1990-05-31,1987-11-01,1990-05-31
382,MILE 39 STEESE,21188,,-147.25417,65.19056,750.0,1998-02-01,2012-04-09,1998-02-01,2010-01-09
383,MILE 42 STEESE,21189,,-147.16667,65.22222,960.0,1996-08-01,2013-09-10,1996-08-01,2013-09-04
384,MILE 50 - KANDIK RIVER,62481,,-141.52049,65.5663,1230.0,2011-07-29,2014-06-26,2011-09-06,2013-11-06
385,MINCHUMINA,29824,PAMH,-152.2816,63.9033,1025.0,1945-01-01,2025-04-15,1945-01-01,2025-02-18
386,MINCHUMINA AIRPORT,40856,PAMH,-152.30194,63.88611,678.0,2000-01-22,2025-04-17,2002-09-11,2003-04-03
387,MINERAL LAKES,28835,,-143.37833,62.945,2098.0,1996-08-01,1999-10-31,1996-08-01,1999-10-31
388,MIRROR LAKE SCOUT CAMP,21169,,-149.4075,61.42528,405.0,1985-11-01,2004-05-11,1985-11-01,2004-04-30
389,MONAHAN FLAT,77608,,-147.64999,63.31,2710.0,2002-07-15,2025-04-16,,
390,MONASHKA CREEK DAM,31947,,-152.4585,57.8426,130.0,1909-11-10,2025-03-31,1909-09-01,2014-08-31
391,MONTANA CREEK,20821,,-150.05888,62.10444,245.0,1963-06-03,2017-12-20,1963-06-01,1981-09-30
392,MONTANA CREEK DOT,31878,,-146.0864,65.36,2300.0,2004-11-02,2019-07-15,2004-11-02,2006-05-31
393,MONUMENT CREEK,77600,,-145.87,65.08,1850.0,1982-06-10,2025-04-16,,
394,MOORE CREEK BRIDGE,77589,,-135.21001,59.59,2250.0,2004-10-06,2025-04-16,,
395,MOOSE MOUNTAIN,29445,,-147.93723,64.91944,855.0,2013-06-11,2017-12-20,1999-07-01,1999-07-31
396,MOOSE PASS 3NW,20647,,-149.4261,60.5029,492.0,1941-07-29,2025-04-01,1941-08-01,2025-03-17
397,MORAINE,77611,,-149.0,61.38,2100.0,2002-07-31,2025-04-16,,
398,MOTHER GOOSE ALASKA,82922,,-157.278,57.1792,175.0,2004-03-24,2025-04-17,,
399,MOUNTAIN VILLAGE AP,20824,PAMO,-163.68195,62.09528,337.0,2017-11-29,2025-04-17,,
400,MT. ALYESKA,77614,,-149.09,60.96,1540.0,2001-08-15,2025-04-16,,
401,MT. EYAK,77594,,-145.75,60.55,1405.0,2005-09-08,2025-04-16,,
402,MT. NOAK ALASKA,82786,,-162.9944,67.1414,809.0,2011-09-30,2025-04-17,,
403,MT. RYAN,77605,,-146.14999,65.25,2800.0,1981-09-30,2025-04-16,,
404,MUNSON RIDGE,77604,,-146.21001,64.85,3100.0,1982-06-11,2025-04-16,,
405,NABESNA,20841,,-142.9966,62.3977,2920.0,1966-10-01,2014-08-31,1966-10-01,2014-08-31
406,NANCY LAKE,31184,,-149.97501,61.68306,233.0,2001-03-01,2007-04-30,2001-03-01,2007-04-30
407,NANWALEK,31255,,-151.92111,59.35556,45.0,2002-11-01,2003-10-30,2002-11-01,2003-10-30
408,NAPAKIAK,106218,PANA,-161.98334,60.68333,17.0,2018-02-04,2025-04-17,,
409,NELSON LAGOON AIRPORT,79428,PAOU,-161.16701,56.017,14.0,2024-11-12,2025-04-17,,
410,NENANA MUN AP,20930,,-149.09612,64.54611,358.0,1916-12-01,2025-04-16,1916-12-01,2001-04-30
411,NENANA MUNICIPAL AIRPORT,30895,PANN,-149.08713,64.54725,361.0,1948-10-01,2025-04-17,1948-10-01,1969-07-31
412,NEW LAKE ALASKA,65756,,-148.0383,66.1617,468.0,1990-05-29,2003-07-29,,
413,NINILCHIK ALASKA,65757,,-151.6655,60.0433,130.0,1992-06-10,2025-04-17,,
414,NOATAK ALASKA,65759,,-158.70419,68.0708,985.0,1990-04-23,2020-10-16,,
415,NOME AIRPORT,20927,PAOM,-165.44002,64.51112,18.0,1900-08-13,2025-04-17,1906-10-01,2020-05-26
416,NORTH POLE,20944,,-147.3253,64.7581,475.0,1968-10-02,2025-04-17,1968-10-01,2025-04-17
417,NORTH POLE 1N,28901,,-147.34,64.76,496.0,2005-10-01,2025-04-18,1996-12-01,2025-04-18
418,NORTHWAY AIRPORT,20860,PAOR,-141.93834,62.96148,1716.0,1942-09-08,2025-04-17,1942-10-01,2021-08-31
419,NORUTAK LAKE ALASKA,65761,,-154.3333,66.8333,800.0,1990-05-26,2025-04-17,,
420,NUIQSUT AIRPORT,30965,PAQT,-150.99442,70.21262,37.0,1998-07-19,2025-04-16,,
421,NUKA GLACIER,77627,,-150.71001,59.7,1250.0,1992-12-06,2025-04-16,,
422,NUNAPITCHUK,106233,PPIT,-162.43333,60.9,10.0,2018-02-04,2025-04-17,,
423,O'BRIEN CREEK,34549,,-141.41833,64.31722,1295.0,2002-11-07,2010-08-21,2002-11-08,2010-08-31
424,OKLAHOMA ALASKA,83185,,-146.2522,64.0217,1587.0,2004-12-30,2020-06-01,,
425,OLD EDGERTON,20790,,-144.98334,61.8,1320.0,1970-03-20,1996-01-31,1970-03-19,1996-01-31
426,OUZINKIE,21199,,-152.50111,57.92556,40.0,1989-05-01,2007-08-31,1989-05-01,2007-08-31
427,PALMER AIRPORT,20761,PAAQ,-149.09175,61.59505,233.0,1997-10-01,2025-04-17,,
428,PALMER JOB CORPS,20760,,-149.0992,61.5888,216.0,1948-11-20,2025-02-28,1948-11-20,2024-10-18
429,PALMER-MAT RVR,21181,,-149.07278,61.60861,171.0,2015-06-26,2017-12-20,,
430,PAMICHTUK LAKE ALASKA,83007,,-152.19501,67.7719,2700.0,2012-09-04,2025-04-17,,
431,PARGON CREEK,77646,,-163.10001,64.99,100.0,2000-09-30,2025-04-16,,
432,PAXSON,29825,PAXK,-145.49834,63.03222,2700.0,1914-04-01,2010-01-31,1914-05-01,2010-01-31
433,PAXSON ALASKA,65770,,-145.5014,62.9453,2670.0,1996-08-02,2025-04-17,,
434,PEARL CREEK,28897,,-147.79611,64.89222,754.0,1997-02-01,1998-06-17,1997-02-01,1998-06-30
435,PEDERSON LAGOON ALASKA,82725,,-149.7308,59.8944,625.0,2011-04-16,2025-04-17,,
436,PELICAN,20543,,-136.2213,57.9577,12.0,1967-02-01,2025-04-18,1967-02-01,2025-04-18
437,PETERSBURG 1,29843,PAPG,-132.93719,56.8055,107.0,1926-07-19,2025-04-17,1924-06-01,2025-04-17
438,PLANT MATERIALS CENTER,20742,,-149.08333,61.53333,67.0,1975-08-01,1994-04-30,1975-08-01,1994-01-31
439,PLATINUM,20580,PAPM,-161.78333,59.01667,20.0,1939-10-08,2025-04-15,1939-10-08,1964-06-30
440,PLATINUM AP,21165,PAPM,-161.81972,59.01139,15.0,2024-08-27,2025-04-17,,
441,POINT BAKER,31559,,-133.6263,56.3511,20.0,2002-09-07,2020-11-25,2002-09-07,2020-11-26
442,POINT HOPE AIRPORT,21057,PAPO,-166.8,68.35,13.0,1924-02-01,2025-04-17,1924-03-02,1982-02-28
443,POINT LAY,21085,PPIZ,-163.00533,69.73288,25.0,1941-09-01,2025-04-01,1941-09-01,1955-08-15
444,POINT LAY LIZ 2,21083,PPIZ,-163.01666,69.73333,,2020-06-09,2025-04-17,,
445,POINT MACKENZIE,77631,,-150.03,61.39,250.0,1999-10-17,2015-08-25,,
446,POINT MACKENZIE,21163,,-150.08194,61.41694,160.0,1980-12-11,2015-08-25,1980-12-17,2010-08-31
447,POORMAN ALASKA,65773,,-155.5583,64.105,935.0,1988-06-02,2025-04-17,,
448,PORT ALCAN,21166,,-141.006,62.6211,1892.0,1985-09-01,2025-04-18,1985-09-01,2025-04-18
449,PORT ALEXANDER,20495,PAAP,-134.6447,56.2472,12.0,1949-09-01,2017-09-05,1949-09-01,2017-09-05
450,PORT ALSWORTH,20636,PALJ,-154.3163,60.2036,260.0,1960-07-01,2025-02-28,1960-07-01,2025-02-28
451,PORT ALSWORTH 1 SW,40796,,-154.3196,60.1951,321.0,2009-09-25,2025-04-18,,
452,PORT ALSWORTH ALASKA,65768,,-154.32001,60.1958,260.0,1992-06-29,2025-04-17,,
453,PORT CLARENCE,20986,PAPC,-166.86667,65.25,12.0,1895-07-21,1995-08-31,1895-09-15,1995-08-31
454,PORT GRAHAM,77640,,-151.85001,59.35,300.0,2000-09-30,2025-04-16,,
455,PORT GRAHAM,31021,,-151.83556,59.35306,36.0,1999-12-01,2002-03-30,1999-12-01,2002-03-31
456,PORT LIONS,31421,,-152.87862,57.86778,75.0,2002-08-06,2009-04-30,2002-08-01,2009-04-30
457,PORT SAN JUAN,21143,,-148.0672,60.0502,40.0,1980-07-01,2025-03-31,1980-07-01,2025-03-31
458,PORTAGE 1 S,20675,,-148.98334,60.81667,40.0,1984-02-01,1995-02-28,1973-01-01,1994-10-31
459,PORTAGE GLACIER VISITOR CENTER,20671,PATO,-148.84839,60.78351,107.0,1972-11-01,2025-04-17,1986-06-01,1993-06-30
460,PREACHER CREEK ALASKA,65774,,-145.03,65.9233,1038.0,1993-08-02,2025-04-17,,
461,PROSPECT CREEK,21026,,-150.66888,66.82361,955.0,1970-10-01,2017-12-20,1970-10-01,2001-04-30
462,PRUDHOE BAY,21168,PAUD,-148.33333,70.25,75.0,1968-12-01,1999-06-13,1985-03-01,1999-06-30
463,PRUDHOE BAY,77613,,-148.57001,70.27,30.0,2003-09-30,2025-04-16,,
464,PT. MAC ALASKA,83186,,-150.0914,61.4225,200.0,2008-05-21,2025-04-17,,
465,PUNTILLA,20822,PAPT,-152.73489,62.0911,1858.0,1942-01-01,2025-04-10,1942-01-01,2025-02-27
466,QUARTZ CREEK ALASKA,65776,,-164.64999,65.4,427.0,1988-05-18,2024-12-23,,
467,QUINHAGAK AIRPORT,106220,PAQH,-161.83333,59.75,43.0,2017-12-23,2025-04-17,,
468,RABBIT CREEK ALASKA,65778,,-149.7283,61.0844,1480.0,1992-06-12,2025-04-17,,
469,RAM CREEK ALASKA,83134,,-154.4731,67.6853,3000.0,2012-09-04,2025-04-17,,
470,RED DOG MINE 3 SSW,61824,,-162.9212,68.0277,942.0,2010-08-26,2025-04-18,,
471,REINDEER RIVER ALASKA,65780,,-162.66499,61.7161,140.0,1993-08-10,2025-04-17,,
472,RENEE ALASKA,65781,,-146.6181,62.71,2600.0,1999-06-07,2025-04-17,,
473,RHOADS CREEK,77598,,-145.33,63.93,1225.0,2001-08-22,2016-10-11,,
474,ROBERT (BOB) CURTIS MEMORIAL AIRPORT,79431,PFNO,-161.022,66.818,56.0,2017-06-26,2025-04-17,,
475,ROBERTSON RIVER,95224,,-143.8335,63.4501,1505.0,2020-09-22,2025-04-18,2020-09-22,2025-04-18
476,ROCKY POINT,77645,,-163.42,64.53,250.0,1999-09-30,2024-12-12,,
477,ROUND LAKE ALASKA,65785,,-153.94,64.6847,570.0,1992-08-10,2025-04-17,,
478,RUBY 14NE,35061,,-155.11771,64.8694,259.0,2009-08-05,2013-09-28,2009-08-21,2013-09-28
479,RUBY 44 ESE,79884,,-154.1297,64.5015,259.0,2014-08-29,2025-04-18,,
480,RUBY AP,33563,PARY,-155.46973,64.72722,653.0,2024-05-28,2025-04-17,,
481,RUBY WEST,20945,,-155.48418,64.7425,400.0,1977-02-21,2000-11-30,1999-04-01,2000-11-30
482,RUTH GLACIER ALASKA,65787,,-150.5397,62.7097,3300.0,1998-08-26,2020-08-25,,
483,SAG RIVER DOT,29447,,-148.87306,68.76083,1630.0,2000-05-01,2017-12-20,1999-04-01,2006-06-30
484,SAGWON,77612,,-148.69,69.42,1000.0,2001-07-15,2025-04-16,,
485,SAINT PAUL ISLAND AIRPORT,20519,PASN,-170.22272,57.15505,26.0,1892-09-01,2025-04-17,1918-07-01,2020-04-30
486,SALCHA,20926,,-146.97667,64.49417,680.0,1919-06-01,2010-12-31,1919-09-20,2010-12-31
487,SALCHA ALASKA,65800,,-146.14,64.59,1000.0,1996-07-29,2025-04-17,,
488,SALCHA RIVER AT JOHNSON'S,21182,,-146.3726,64.5254,767.0,1996-12-01,2014-09-27,1996-12-01,2014-09-27
489,SALMON RIVER ALASKA,82724,,-159.8405,67.4597,1201.0,2014-01-01,2025-04-11,,
490,SALMON TROUT ALASKA,65789,,-141.62,66.8125,2210.0,1988-07-01,2025-04-17,,
491,SAND POINT 1 ENE,40795,,-160.466,55.3473,240.0,2009-08-21,2025-04-18,,
